e,rnn_size,num_layers,seq_length,train_perplexity,val_perplexity,test_perplexity
0,128,1,50,inf,66.99090684255107,67.02595931167826
3,128,1,50,7.50197038936615,8.820417187783512,10.560918815730181
6,128,1,50,6.096826796770096,8.918013303840453,11.120916962646412
9,128,1,50,5.516915584405263,9.07047427309176,11.501302313719876
9,128,1,50,5.472595908167126,8.962098844524276,11.47506233362627
0,256,1,50,inf,63.70697657811097,63.723495141840296
3,256,1,50,6.5424218044281,7.911794802471181,9.968005982332865
6,256,1,50,5.319928471684456,8.050365003294248,10.567598073053043
9,256,1,50,4.809553047895432,8.199325148048787,10.989813193210274
9,256,1,50,4.769774433346415,8.292201876975595,11.160766176118404
0,512,1,50,inf,56.476865303146276,56.45446298494675
3,512,1,50,5.73794395160675,7.562387186949677,9.459366819390295
6,512,1,50,4.669613548398018,8.170581413825332,10.614308284087898
9,512,1,50,4.181889615456263,9.031917365652173,12.231114459408378
9,512,1,50,4.143897338632834,9.34483002821908,12.572363965453103
0,128,1,100,inf,64.45460974029051,64.42276005816477
6,128,1,100,7.250826751232148,7.81433121914523,9.852677049718316
9,128,1,100,6.302499083721537,7.842209739583444,10.331524600301528
0,256,1,100,inf,61.48619935382833,61.460082646510536
6,256,1,100,5.983874326944351,7.448858494973324,9.404670515407027
9,256,1,100,5.2505062392944675,7.570779281658116,9.741076614773297
0,512,1,100,inf,59.57878469557763,59.494462542691494
6,512,1,100,5.268101626873016,7.517895266114749,9.687807911331959
9,512,1,100,4.5863013586126815,8.194713171132744,10.982503021086634
0,128,1,200,inf,63.54786051547331,63.494791721714286
9,128,1,200,7.703589337079825,7.880981402241691,9.555130594714301
0,256,1,200,inf,65.95131788196882,65.96269912300076
9,256,1,200,6.365977719484287,7.304572707885619,9.389488684583256
0,512,1,200,inf,59.78239776091276,59.80406125630987
9,512,1,200,5.4623515159473,7.2753020831175075,9.481969214292548
0,128,2,50,inf,62.7165840322781,62.6881330322277
3,128,2,50,7.365939101696014,8.314902755283207,10.480561094341933
6,128,2,50,5.850255136847496,8.374793448697304,11.014318624324941
9,128,2,50,5.234825144529343,8.484761367993542,11.49271002972087
9,128,2,50,5.187885395849429,8.502687575876871,11.583586781374697
0,256,2,50,inf,61.23383601457121,61.181607179302226
3,256,2,50,6.467870491981507,7.922598360781989,9.959069486476698
6,256,2,50,5.1251971983909606,8.251678174734336,10.870363597759846
9,256,2,50,4.558759382009506,8.767984414050181,11.964464482690289
9,256,2,50,4.513839280501789,9.125465929637164,12.49428394820739
0,512,2,50,inf,55.293207289334525,55.22303265224768
3,512,2,50,6.229081190109253,7.745188199014184,9.848385988128827
6,512,2,50,4.804933487296104,8.98391314164792,12.106001947494608
9,512,2,50,4.203498269796372,10.194055336182593,14.261581483921518
9,512,2,50,4.155753962745925,10.161027555192428,14.426782800855033
0,128,2,100,inf,65.5517750709614,65.50375837892322
6,128,2,100,6.906274051189422,7.641298763261533,9.422065228525435
9,128,2,100,5.952315875528088,7.593527746722069,9.644012370120974
0,256,2,100,inf,63.34684843673874,63.29242939242405
6,256,2,100,5.950829307794571,7.412188232153091,9.618856485237817
9,256,2,100,5.122671868433254,7.660767474529526,10.369189778917905
0,512,2,100,inf,54.948417283032754,54.90267510836363
6,512,2,100,6.283018679380417,7.78784029382048,10.357270780361535
9,512,2,100,5.1259264550415296,9.091753058473557,12.588685959839658
0,128,2,200,inf,65.06935639386519,65.06785739566646
9,128,2,200,7.444525601494917,7.668280366320519,9.61983015058917
0,256,2,200,inf,58.55184566528629,58.54474227863181
9,256,2,200,5.973053257549073,7.199223102494216,9.342077944347391
0,512,2,200,inf,49.24088399280899,49.19943304060207
9,512,2,200,7.192738406214819,7.350900169803144,9.769037628106519
0,128,3,50,inf,62.91779560707078,62.89865213508152
3,128,3,50,8.175550898075103,8.455892866067938,10.315602993765092
6,128,3,50,6.262675765872002,8.42414004111104,10.747816343146443
9,128,3,50,5.49394632824262,8.491214728704671,11.118749409597562
9,128,3,50,5.435379687364787,8.517370461507992,11.092442103735358
0,256,3,50,inf,56.03868315997344,55.97458009376466
3,256,3,50,6.828341851472855,8.002845853544452,10.113861061655868
6,256,3,50,5.282909094572068,8.330700568367027,11.140038264692626
9,256,3,50,4.6454022990862525,9.173240661572539,12.654448197347595
9,256,3,50,4.596995028854375,9.279646860535749,12.764106895775292
0,512,3,50,inf,53.60095476449409,53.5359970627083
3,512,3,50,9.974989590883254,7.795996284007001,10.302867593121489
6,512,3,50,6.799902904748917,8.450482014054323,11.679875063921488
9,512,3,50,5.602093907117844,9.297086898996795,13.458255705461239
9,512,3,50,5.511860077386502,9.490599272813563,13.841443277209
0,128,3,100,inf,62.60830878057472,62.56017917188953
6,128,3,100,7.196174815177917,7.927148325449038,10.316814536768177
9,128,3,100,6.109549038482528,7.874936981804328,10.672598788289987
0,256,3,100,inf,55.44840658876041,55.37273051034634
6,256,3,100,6.278780683517456,7.352566613148148,9.324230808786032
9,256,3,100,5.297552844029692,7.702706925203688,10.054539372286253
0,512,3,100,inf,50.263558649547235,50.17586866886788
6,512,3,100,13.377999131679536,7.648502157088584,9.97662098346552
9,512,3,100,9.978937837214067,7.853136644440457,10.976016302417678
0,128,3,200,inf,64.60189636357524,64.5672986057582
9,128,3,200,8.332367223012897,8.199908261026575,9.822797569881722
0,256,3,200,inf,59.95448016592225,59.873400808225185
9,256,3,200,6.700859418305991,7.101227811225468,9.33639234013344
0,512,3,200,inf,47.81272384145756,47.722255224601646
9,512,3,200,29.196626323407276,27.56912480095723,27.5613516912066
